step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-3.0,"(0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0)",6.0,9.0,10.0,13.0,9.037333333333333,14.616666666666667,12.913666666666666,18.858666666666668,0.0,3.6545964951611345,2.845243008105561,5.071183891490718,4.0,1.0,14.0,5.0,0.1309940954299054,0.024365700236628762,0.07613134586482227,0.012931950062424112,3.0,4.0,7.0,5.579333333333334,3.876333333333333,9.821333333333335,3.6545964951611345,2.845243008105561,5.071183891490718,3.1916526651302513,1.709782926806959,7.876831172526025
0,1,0.2857142857142857,1.6582280766035322,-3.0,"(0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1)",5.0,9.0,8.0,12.0,7.387333333333333,11.873333333333333,10.845,17.937333333333335,0.0,3.0083758013305353,3.28756613516135,4.887443008224844,2.0,6.0,2.0,5.0,0.2512225076735096,0.01688431185302894,0.041398645003372606,0.004789536186987568,4.0,3.0,7.0,4.486,3.4576666666666673,10.55,3.0083758013305353,3.28756613516135,4.887443008224844,2.4502379329025015,0.28206547718730074,9.3898109891292
0,2,0.5714285714285714,1.6582280766035322,-5.0,"(1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1)",7.0,13.0,12.0,14.0,10.000666666666667,17.912333333333333,15.696,18.134333333333334,0.0,1.936395836453774,2.301187588550145,3.4744300146381613,3.0,3.0,8.0,6.0,0.04492622961090588,0.025789933249878928,0.02831943907079017,0.03230607709321163,6.0,5.0,7.0,7.911666666666665,5.695333333333332,8.133666666666667,1.936395836453774,2.301187588550145,3.4744300146381613,9.908361855969114,5.6282677700838875,7.72607703193391
0,3,0.8571428571428571,1.6582280766035322,-2.0,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0)",9.0,11.0,15.0,14.0,13.803,16.919,19.397,18.733333333333334,0.0,1.982743311194844,2.2945915257565437,3.395093013550886,7.0,2.0,17.0,4.0,0.0878678078163653,0.06783651009647557,0.030111342339641953,0.03127569780775409,2.0,6.0,5.0,3.1159999999999997,5.593999999999998,4.9303333333333335,1.982743311194844,2.2945915257565437,3.395093013550886,1.879198059375461,5.471171768174117,2.5457786025970397
0,4,1.1428571428571428,1.6582280766035322,-3.0,"(1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1)",8.0,11.0,11.0,14.0,11.517333333333333,15.486333333333333,15.48,18.191,0.0,2.4389034303120685,2.1696164030498584,3.234908181350984,4.0,1.0,2.0,7.0,0.09669028427958198,0.03309973577088325,0.06924464008948694,0.025661101035715807,3.0,3.0,6.0,3.9689999999999994,3.9626666666666672,6.673666666666666,2.4389034303120685,2.1696164030498584,3.234908181350984,2.5372490917712804,2.9732862898907575,5.702245869009099
0,5,1.4285714285714284,1.6582280766035322,-4.0,"(0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",4.0,8.0,8.0,11.0,6.0216666666666665,13.541333333333334,12.212666666666667,15.813,0.0,2.951747312514526,1.3846572934767638,4.4394726933304005,1.0,3.0,4.0,5.0,0.3137184618896488,0.01824391745280664,0.064777855409195,0.008922609904055544,4.0,4.0,7.0,7.519666666666668,6.191000000000001,9.791333333333334,2.951747312514526,1.3846572934767638,4.4394726933304005,7.574652124715755,7.970012421735443,8.874605575322214
0,6,1.7142857142857142,1.6582280766035322,-4.0,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",3.0,7.0,7.0,10.0,3.536,9.081,10.765,13.134666666666666,0.0,4.334248909491702,4.706152617561061,6.298134482504283,3.0,9.0,6.0,6.0,0.135588402335655,0.08656276337663718,0.13765474950060527,0.04935593676962043,4.0,4.0,7.0,5.545,7.229000000000001,9.598666666666666,4.334248909491702,4.706152617561061,6.298134482504283,2.007701452059204,4.183456362545979,5.473035135511645
0,7,2.0,1.6582280766035322,-3.0,"(1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1)",8.0,11.0,13.0,14.0,13.093666666666667,15.029333333333334,18.215666666666667,18.043333333333333,0.0,1.3713269822165108,1.5774355197601282,2.661198116358976,4.0,5.0,2.0,11.0,0.20271016520519894,0.02751260863557464,0.05237938627129409,0.020529632098407587,3.0,5.0,6.0,1.9356666666666662,5.122,4.9496666666666655,1.3713269822165108,1.5774355197601282,2.661198116358976,0.9358039094968255,5.877696340465361,3.794802802544394
1,0,0.0,1.6582280766035322,-3.0,"(0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0)",6.0,9.0,10.0,13.0,9.037333333333333,14.616666666666667,12.913666666666666,18.858666666666668,0.0,3.6545964951611345,2.845243008105561,5.071183891490718,4.0,1.0,14.0,5.0,0.1309940954299054,0.024365700236628762,0.07613134586482227,0.012931950062424112,3.0,4.0,7.0,5.579333333333334,3.876333333333333,9.821333333333335,3.6545964951611345,2.845243008105561,5.071183891490718,3.1916526651302513,1.709782926806959,7.876831172526025
1,1,0.2857142857142857,1.6582280766035322,-3.0,"(0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1)",5.0,9.0,8.0,12.0,7.387333333333333,11.873333333333333,10.845,17.937333333333335,0.0,3.0083758013305353,3.28756613516135,4.887443008224844,2.0,6.0,2.0,5.0,0.2512225076735096,0.01688431185302894,0.041398645003372606,0.004789536186987568,4.0,3.0,7.0,4.486,3.4576666666666673,10.55,3.0083758013305353,3.28756613516135,4.887443008224844,2.4502379329025015,0.28206547718730074,9.3898109891292
