step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-2.4341932929277035,"(0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1)",9.0,12.0,12.0,14.0,9.085666666666667,12.397333333333334,14.102333333333334,15.748,0.0,6.791328361998986,6.763460917933844,9.395547919170225,7.0,7.0,2.0,11.0,0.17290496972456432,0.0001377506419851926,0.1096912784348339,0.0006453030298881823,3.0,3.0,5.0,3.3116666666666674,5.0166666666666675,6.662333333333333,6.791328361998986,6.763460917933844,9.395547919170225,-5.770072720281897,-2.896583271500877,-4.5322931656170296
0,1,0.2857142857142857,1.6582280766035322,-2.6929945391931494,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)",4.0,7.0,9.0,10.0,4.011333333333333,7.300666666666666,9.325666666666667,10.553666666666667,0.0,7.772207118822791,8.527437883933665,13.757194441438697,3.0,2.0,6.0,6.0,0.1720700357067367,0.08526856864823311,0.0028735692575369946,0.0030344488624437053,3.0,5.0,6.0,3.2893333333333334,5.314333333333334,6.542333333333334,7.772207118822791,8.527437883933665,13.757194441438697,-7.433627174968578,-5.328060178868044,-11.963885258255187
0,2,0.5714285714285714,1.6582280766035322,-2.8862356506087155,"(0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",6.0,9.0,9.0,11.0,6.168,9.38,9.880666666666666,14.452333333333334,0.0,7.654307102576278,7.64711223519946,12.091845196483973,3.0,3.0,4.0,1.0,0.14907877294745353,0.15262386697168878,0.0015638017015068598,0.036309628061999936,3.0,3.0,5.0,3.2120000000000006,3.7126666666666663,8.284333333333333,7.654307102576278,7.64711223519946,12.091845196483973,-7.366358362387271,-6.524208107609425,-6.313723073477418
0,3,0.8571428571428571,1.6582280766035322,-2.019734872768634,"(0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1)",8.0,11.0,11.0,13.0,8.406333333333333,11.553,11.488333333333333,13.568333333333333,0.0,6.693916674876734,6.306830967528249,10.051192875902855,16.0,23.0,37.0,23.0,0.29354648197340555,0.001134244966702281,0.01496432845773718,0.0006919453507013571,3.0,3.0,5.0,3.1466666666666683,3.0820000000000007,5.162000000000001,6.693916674876734,6.306830967528249,10.051192875902855,-5.882149558346041,-5.347505252655876,-8.107396898752082
0,4,1.1428571428571428,1.6582280766035322,-1.3208964052058818,"(1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0)",7.0,12.0,10.0,13.0,7.0,12.155333333333333,11.182666666666666,13.888333333333334,0.0,7.854049886781377,6.756118652505772,11.318981939491882,2.0,20.0,1.0,15.0,0.291363079142938,0.04004514300217319,0.00442179929700432,0.01433660101191465,5.0,3.0,6.0,5.155333333333333,4.182666666666666,6.888333333333334,7.854049886781377,6.756118652505772,11.318981939491882,-4.4750875597222635,-4.267370336709521,-7.3470259162964116
0,5,1.4285714285714284,1.6582280766035322,-1.6740488169038457,"(0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1)",7.0,10.0,11.0,13.0,7.344666666666667,10.165,11.862333333333334,14.465333333333334,0.0,7.1039872658425836,7.671801408784446,11.326858522855748,1.0,1.0,5.0,7.0,0.18654102667408715,0.06279400054430356,0.12006196941258514,0.003356236524840474,3.0,4.0,6.0,2.8203333333333322,4.517666666666667,7.120666666666667,7.1039872658425836,7.671801408784446,11.326858522855748,-7.103275221339973,-5.230274786770343,-6.974825431513861
0,6,1.7142857142857142,1.6582280766035322,-1.9115527156180934,"(1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0)",7.0,11.0,10.0,13.0,7.543666666666667,11.614333333333333,10.240666666666666,14.973666666666666,0.0,8.590616373652258,5.818602559885151,11.728122080259192,4.0,4.0,8.0,1.0,0.23648713854807696,0.06076577886239306,0.0022269359747081915,0.01910841805265416,4.0,3.0,6.0,4.070666666666666,2.696999999999999,7.43,8.590616373652258,5.818602559885151,11.728122080259192,-7.495107508959418,-5.1763290087990175,-7.127266710155373
0,7,2.0,1.6582280766035322,-1.822522651254649,"(1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1)",8.0,12.0,12.0,13.0,8.065,12.218,13.841,13.709333333333333,0.0,6.0039279722020025,7.28150058144299,10.340719498077831,8.0,21.0,3.0,14.0,0.24484397618614487,0.07507601828254938,0.0015371284392989126,0.028049976556774336,4.0,4.0,5.0,4.1530000000000005,5.776,5.644333333333334,6.0039279722020025,7.28150058144299,10.340719498077831,-3.069260731276202,-2.4964633334917092,-7.787679396951708
1,0,0.0,1.6582280766035322,-2.4341932929277035,"(0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1)",9.0,12.0,12.0,14.0,9.085666666666667,12.397333333333334,14.102333333333334,15.748,0.0,6.791328361998986,6.763460917933844,9.395547919170225,7.0,7.0,2.0,11.0,0.17290496972456432,0.0001377506419851926,0.1096912784348339,0.0006453030298881823,3.0,3.0,5.0,3.3116666666666674,5.0166666666666675,6.662333333333333,6.791328361998986,6.763460917933844,9.395547919170225,-5.770072720281897,-2.896583271500877,-4.5322931656170296
1,1,0.2857142857142857,1.6582280766035322,-2.6929945391931494,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0)",4.0,7.0,9.0,10.0,4.011333333333333,7.300666666666666,9.325666666666667,10.553666666666667,0.0,7.772207118822791,8.527437883933665,13.757194441438697,3.0,2.0,6.0,6.0,0.1720700357067367,0.08526856864823311,0.0028735692575369946,0.0030344488624437053,3.0,5.0,6.0,3.2893333333333334,5.314333333333334,6.542333333333334,7.772207118822791,8.527437883933665,13.757194441438697,-7.433627174968578,-5.328060178868044,-11.963885258255187
