step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,0.6295878723088135,"(0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1)",8.0,12.0,13.0,13.0,11.344666666666667,16.151666666666667,17.630333333333333,18.478,0.0,1.8839589797202914,1.7218671852322947,2.913626491509051,2.0,4.0,18.0,1.0,0.1731164454005191,0.014973860303978742,0.0338773531119617,0.023904160299021884,4.0,5.0,5.0,4.807,6.285666666666666,7.133333333333335,1.8839589797202914,1.7218671852322947,2.913626491509051,4.847068688891648,7.567820436103115,6.9972363601490475
0,1,0.2857142857142857,1.6582280766035322,-0.9941628319133076,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1)",8.0,10.0,11.0,13.0,9.843,17.369,16.209333333333333,18.084333333333333,0.0,2.308732526298693,2.42368458152013,2.9129724126566128,9.0,2.0,8.0,2.0,0.24153434089615064,0.03408571941179483,0.07708887957287341,0.057140765788609924,2.0,3.0,5.0,7.526,6.366333333333333,8.241333333333333,2.308732526298693,2.42368458152013,2.9129724126566128,8.651419408041889,6.537810856442525,8.835637680943185
0,2,0.5714285714285714,1.6582280766035322,-0.039170752750461,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1)",7.0,10.0,11.0,14.0,9.209,14.837666666666667,16.791,19.246666666666666,0.0,2.9056301472285395,2.942194076317648,3.7295852537364294,2.0,2.0,4.0,13.0,0.15792508030527963,0.05052312176684451,0.023147971828745246,0.011754901991534308,3.0,4.0,7.0,5.628666666666668,7.582000000000001,10.037666666666667,2.9056301472285395,2.942194076317648,3.7295852537364294,4.515415610149064,7.693856452641463,10.460237708421799
0,3,0.8571428571428571,1.6582280766035322,-0.27878396741734723,"(1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0)",8.0,12.0,11.0,12.0,10.612333333333334,15.372,15.179666666666666,16.500666666666667,0.0,2.660101843352778,1.736680689383286,3.288358399686838,8.0,16.0,2.0,1.0,0.16988763779258517,0.021201567785293505,0.0605889019434984,0.031094175729087396,4.0,3.0,4.0,4.759666666666666,4.567333333333332,5.888333333333334,2.660101843352778,1.736680689383286,3.288358399686838,3.4815573386682237,4.693867689309988,4.311351433438025
0,4,1.1428571428571428,1.6582280766035322,-1.7315549221509405,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4.0,7.0,7.0,10.0,4.381666666666667,12.33,10.069,14.617,0.0,4.328887305377351,4.916922618475574,6.393068039889834,6.0,6.0,6.0,2.0,0.3168562954070082,0.08558430464405184,0.0782287581005316,0.03304617095093781,3.0,3.0,6.0,7.948333333333333,5.687333333333334,10.235333333333333,4.328887305377351,4.916922618475574,6.393068039889834,6.001867025307743,1.2775166778933351,6.37135218734732
0,5,1.4285714285714284,1.6582280766035322,-0.16241830963312065,"(1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1)",8.0,12.0,12.0,15.0,12.691333333333333,16.289,16.286666666666665,19.497,0.0,2.2134028366503955,2.0539642070849657,3.4515096176682194,2.0,3.0,4.0,6.0,0.12770544335390654,0.03707721040657407,0.021041822548342467,0.021779769959362167,4.0,4.0,7.0,3.597666666666669,3.5953333333333326,6.805666666666667,2.2134028366503955,2.0539642070849657,3.4515096176682194,2.295425148359724,2.5559415615548966,5.561957391986875
0,6,1.7142857142857142,1.6582280766035322,0.32034999723157886,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",4.0,7.0,9.0,11.0,4.738,9.629,11.196333333333333,14.905333333333333,0.0,3.2103479810608455,4.454986338224847,6.0953516134920775,2.0,2.0,29.0,20.0,0.22802222264462826,0.033374690492403436,0.07798080424257067,0.0259948876606358,3.0,5.0,7.0,4.890999999999999,6.458333333333333,10.167333333333332,3.2103479810608455,4.454986338224847,6.0953516134920775,2.786904364805316,3.3220062344682106,6.752274415257106
0,7,2.0,1.6582280766035322,0.019242195957441366,"(0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0)",5.0,9.0,14.0,11.0,7.658333333333333,12.33,19.375333333333334,16.217666666666666,0.0,3.0710568226261503,3.186543195783382,4.347588433130158,1.0,2.0,8.0,5.0,0.19641203499715837,0.05771545622230042,0.07423276450290453,0.02451468421054912,4.0,9.0,6.0,4.671666666666667,11.717,8.559333333333333,3.0710568226261503,3.186543195783382,4.347588433130158,2.6541761830759856,14.145442979005638,6.984033645008646
1,0,0.0,1.6582280766035322,0.8417202559932546,"(1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1)",8.0,12.0,12.0,14.0,12.097666666666667,15.589333333333334,17.609666666666666,18.847666666666665,0.0,1.3182084094959785,1.1057986052612694,2.5813452220923128,2.0,17.0,3.0,2.0,0.12941954352488794,0.07417437088980708,0.04238379157854364,0.026721899475851747,4.0,4.0,6.0,3.491666666666667,5.511999999999999,6.749999999999998,1.3182084094959785,1.1057986052612694,2.5813452220923128,3.604089505366216,7.306486863925404,6.912580394393985
1,1,0.2857142857142857,1.6582280766035322,-0.5311229382025302,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1)",9.0,11.0,11.0,13.0,11.705666666666668,16.513666666666666,15.295,17.311333333333334,0.0,1.8054879421841277,2.2459870183556525,3.5356739049340504,8.0,1.0,11.0,7.0,0.049714245588662075,0.024443961057906784,0.04224760835915347,0.054367581290332055,2.0,2.0,4.0,4.807999999999998,3.5893333333333324,5.605666666666666,1.8054879421841277,2.2459870183556525,3.5356739049340504,4.978849794610925,2.2275745760978807,3.432520115871109
1,2,0.5714285714285714,1.6582280766035322,-0.039170752750461,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1)",7.0,10.0,11.0,14.0,9.209,14.837666666666667,16.791,19.246666666666666,0.0,2.9056301472285395,2.942194076317648,3.7295852537364294,2.0,2.0,4.0,13.0,0.15792508030527963,0.05052312176684451,0.023147971828745246,0.011754901991534308,3.0,4.0,7.0,5.628666666666668,7.582000000000001,10.037666666666667,2.9056301472285395,2.942194076317648,3.7295852537364294,4.515415610149064,7.693856452641463,10.460237708421799
1,3,0.8571428571428571,1.6582280766035322,-0.8321509408772833,"(1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0)",10.0,12.0,13.0,14.0,12.28,15.913666666666666,15.198333333333334,17.593333333333334,0.0,2.3258214878659116,2.887002718501361,3.3874375272639,45.0,17.0,53.0,5.0,0.2277163321621253,0.044108592794626846,0.020096094454559964,0.0296782804778094,2.0,3.0,4.0,3.6336666666666666,2.918333333333335,5.313333333333334,2.3258214878659116,2.887002718501361,3.3874375272639,2.1687055953379786,0.05195330517163011,3.1935744982373278
1,4,1.1428571428571428,1.6582280766035322,-0.9736120328969978,"(0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",5.0,8.0,8.0,11.0,7.375666666666667,10.462,11.077333333333334,15.830666666666668,0.0,2.7487064969126256,2.4340300822424945,4.8239328728909285,6.0,5.0,6.0,2.0,0.2737459627012183,0.07379508565906077,0.04578847244712441,0.006064710231279854,3.0,3.0,6.0,3.086333333333333,3.701666666666667,8.455000000000002,2.7487064969126256,2.4340300822424945,4.8239328728909285,0.5598622995676453,2.102030575221967,6.021137458204392
1,5,1.4285714285714284,1.6582280766035322,0.5878578941037932,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1)",7.0,13.0,12.0,14.0,9.815,16.454666666666668,16.998666666666665,19.954,0.0,2.477917852003268,2.377779300932822,3.2312785043388628,1.0,13.0,2.0,3.0,0.20179096071972435,0.04632000131863655,0.03256222217136481,0.009470997662202257,6.0,5.0,7.0,6.639666666666669,7.1836666666666655,10.139000000000001,2.477917852003268,2.377779300932822,3.2312785043388628,6.901128732246321,7.969257362854047,11.454577729463045
1,6,1.7142857142857142,1.6582280766035322,0.32034999723157886,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",4.0,7.0,9.0,11.0,4.738,9.629,11.196333333333333,14.905333333333333,0.0,3.2103479810608455,4.454986338224847,6.0953516134920775,2.0,2.0,29.0,20.0,0.22802222264462826,0.033374690492403436,0.07798080424257067,0.0259948876606358,3.0,5.0,7.0,4.890999999999999,6.458333333333333,10.167333333333332,3.2103479810608455,4.454986338224847,6.0953516134920775,2.786904364805316,3.3220062344682106,6.752274415257106
1,7,2.0,1.6582280766035322,-0.15020468298731315,"(0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0)",4.0,9.0,8.0,11.0,6.527,16.38533333333333,13.725,14.189666666666668,0.0,4.222935743660588,4.7455447467586,5.593129603358086,1.0,4.0,1.0,13.0,0.2539654868677527,0.025322630549808114,0.021434175111849283,0.029992307540858652,5.0,4.0,7.0,9.85833333333333,7.1979999999999995,7.662666666666667,4.222935743660588,4.7455447467586,5.593129603358086,9.344774506019213,4.066730157538715,3.4317644639499107
2,0,0.0,1.6582280766035322,0.8417202559932546,"(1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1)",8.0,12.0,12.0,14.0,12.097666666666667,15.589333333333334,17.609666666666666,18.847666666666665,0.0,1.3182084094959785,1.1057986052612694,2.5813452220923128,2.0,17.0,3.0,2.0,0.12941954352488794,0.07417437088980708,0.04238379157854364,0.026721899475851747,4.0,4.0,6.0,3.491666666666667,5.511999999999999,6.749999999999998,1.3182084094959785,1.1057986052612694,2.5813452220923128,3.604089505366216,7.306486863925404,6.912580394393985
2,1,0.2857142857142857,1.6582280766035322,-0.5311229382025302,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1)",9.0,11.0,11.0,13.0,11.705666666666668,16.513666666666666,15.295,17.311333333333334,0.0,1.8054879421841277,2.2459870183556525,3.5356739049340504,8.0,1.0,11.0,7.0,0.049714245588662075,0.024443961057906784,0.04224760835915347,0.054367581290332055,2.0,2.0,4.0,4.807999999999998,3.5893333333333324,5.605666666666666,1.8054879421841277,2.2459870183556525,3.5356739049340504,4.978849794610925,2.2275745760978807,3.432520115871109
2,2,0.5714285714285714,1.6582280766035322,-0.039170752750461,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1)",7.0,10.0,11.0,14.0,9.209,14.837666666666667,16.791,19.246666666666666,0.0,2.9056301472285395,2.942194076317648,3.7295852537364294,2.0,2.0,4.0,13.0,0.15792508030527963,0.05052312176684451,0.023147971828745246,0.011754901991534308,3.0,4.0,7.0,5.628666666666668,7.582000000000001,10.037666666666667,2.9056301472285395,2.942194076317648,3.7295852537364294,4.515415610149064,7.693856452641463,10.460237708421799
2,3,0.8571428571428571,1.6582280766035322,-0.8321509408772833,"(1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0)",10.0,12.0,13.0,14.0,12.28,15.913666666666666,15.198333333333334,17.593333333333334,0.0,2.3258214878659116,2.887002718501361,3.3874375272639,45.0,17.0,53.0,5.0,0.2277163321621253,0.044108592794626846,0.020096094454559964,0.0296782804778094,2.0,3.0,4.0,3.6336666666666666,2.918333333333335,5.313333333333334,2.3258214878659116,2.887002718501361,3.3874375272639,2.1687055953379786,0.05195330517163011,3.1935744982373278
2,4,1.1428571428571428,1.6582280766035322,-0.9736120328969978,"(0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",5.0,8.0,8.0,11.0,7.375666666666667,10.462,11.077333333333334,15.830666666666668,0.0,2.7487064969126256,2.4340300822424945,4.8239328728909285,6.0,5.0,6.0,2.0,0.2737459627012183,0.07379508565906077,0.04578847244712441,0.006064710231279854,3.0,3.0,6.0,3.086333333333333,3.701666666666667,8.455000000000002,2.7487064969126256,2.4340300822424945,4.8239328728909285,0.5598622995676453,2.102030575221967,6.021137458204392
2,5,1.4285714285714284,1.6582280766035322,0.5878578941037932,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1)",7.0,13.0,12.0,14.0,9.815,16.454666666666668,16.998666666666665,19.954,0.0,2.477917852003268,2.377779300932822,3.2312785043388628,1.0,13.0,2.0,3.0,0.20179096071972435,0.04632000131863655,0.03256222217136481,0.009470997662202257,6.0,5.0,7.0,6.639666666666669,7.1836666666666655,10.139000000000001,2.477917852003268,2.377779300932822,3.2312785043388628,6.901128732246321,7.969257362854047,11.454577729463045
2,6,1.7142857142857142,1.6582280766035322,0.32034999723157886,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1)",4.0,7.0,9.0,11.0,4.738,9.629,11.196333333333333,14.905333333333333,0.0,3.2103479810608455,4.454986338224847,6.0953516134920775,2.0,2.0,29.0,20.0,0.22802222264462826,0.033374690492403436,0.07798080424257067,0.0259948876606358,3.0,5.0,7.0,4.890999999999999,6.458333333333333,10.167333333333332,3.2103479810608455,4.454986338224847,6.0953516134920775,2.786904364805316,3.3220062344682106,6.752274415257106
2,7,2.0,1.6582280766035322,-0.15020468298731315,"(0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0)",4.0,9.0,8.0,11.0,6.527,16.38533333333333,13.725,14.189666666666668,0.0,4.222935743660588,4.7455447467586,5.593129603358086,1.0,4.0,1.0,13.0,0.2539654868677527,0.025322630549808114,0.021434175111849283,0.029992307540858652,5.0,4.0,7.0,9.85833333333333,7.1979999999999995,7.662666666666667,4.222935743660588,4.7455447467586,5.593129603358086,9.344774506019213,4.066730157538715,3.4317644639499107
3,0,0.0,1.6582280766035322,-0.05970664079577781,"(1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1)",7.0,12.0,10.0,14.0,10.296,16.843333333333334,13.270666666666667,18.073666666666668,0.0,3.524333467365725,2.8369058058315266,3.822989556340224,1.0,6.0,1.0,6.0,0.22480135691896996,0.021301618035601187,0.036876632227771745,0.01891087214474711,5.0,3.0,7.0,6.547333333333334,2.9746666666666677,7.7776666666666685,3.524333467365725,2.8369058058315266,3.822989556340224,5.0128232533162045,0.2284389272939028,6.557756618244635
3,1,0.2857142857142857,1.6582280766035322,-0.5311229382025302,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1)",9.0,11.0,11.0,13.0,11.705666666666668,16.513666666666666,15.295,17.311333333333334,0.0,1.8054879421841277,2.2459870183556525,3.5356739049340504,8.0,1.0,11.0,7.0,0.049714245588662075,0.024443961057906784,0.04224760835915347,0.054367581290332055,2.0,2.0,4.0,4.807999999999998,3.5893333333333324,5.605666666666666,1.8054879421841277,2.2459870183556525,3.5356739049340504,4.978849794610925,2.2275745760978807,3.432520115871109
3,2,0.5714285714285714,1.6582280766035322,-0.3471028143584488,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1)",7.0,11.0,9.0,12.0,7.965333333333334,14.120333333333333,13.004666666666667,15.649666666666667,0.0,2.912051174836276,2.6521331362068765,3.8759607310095046,7.0,23.0,3.0,9.0,0.07107664094318901,0.08677671979882966,0.08701657220781107,0.038421045394140194,4.0,2.0,5.0,6.154999999999999,5.039333333333333,7.684333333333333,2.912051174836276,2.6521331362068765,3.8759607310095046,5.377548792874926,3.9585223913485774,6.315150375341031
3,3,0.8571428571428571,1.6582280766035322,-0.8307426124883882,"(1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0)",8.0,11.0,12.0,13.0,10.444666666666667,17.947333333333333,17.079333333333334,16.733,0.0,2.2964984880446373,1.9001819777363949,3.0061279810489157,9.0,6.0,2.0,8.0,0.19633566784178538,0.046496011998928145,0.018159752141087223,0.02163041866170929,3.0,4.0,5.0,7.502666666666666,6.634666666666668,6.288333333333334,2.2964984880446373,1.9001819777363949,3.0061279810489157,8.633014245310921,7.850855439433719,5.44264506833641
3,4,1.1428571428571428,1.6582280766035322,0.8494670453591545,"(0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",5.0,9.0,8.0,13.0,8.231,15.312,12.941,17.19633333333333,0.0,3.4474377465023367,2.126152402686438,4.627368359165987,1.0,1.0,1.0,17.0,0.15479478099392943,0.057286816482328126,0.015910313273794108,0.0426148334682645,4.0,3.0,8.0,7.0809999999999995,4.710000000000001,8.965333333333332,3.4474377465023367,2.126152402686438,4.627368359165987,6.025274946836626,4.284608631529927,7.193335315487007
3,5,1.4285714285714284,1.6582280766035322,0.5878578941037932,"(1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1)",7.0,13.0,12.0,14.0,9.815,16.454666666666668,16.998666666666665,19.954,0.0,2.477917852003268,2.377779300932822,3.2312785043388628,1.0,13.0,2.0,3.0,0.20179096071972435,0.04632000131863655,0.03256222217136481,0.009470997662202257,6.0,5.0,7.0,6.639666666666669,7.1836666666666655,10.139000000000001,2.477917852003268,2.377779300932822,3.2312785043388628,6.901128732246321,7.969257362854047,11.454577729463045
3,6,1.7142857142857142,1.6582280766035322,-0.6938177640127696,"(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1)",4.0,8.0,8.0,10.0,5.815666666666667,11.027,11.135333333333334,13.872666666666667,0.0,3.3824628430340886,3.4409890817599904,4.482098367277315,3.0,2.0,9.0,3.0,0.22875679196140822,0.01970253530938183,0.09697537081165089,0.036342382200412054,4.0,4.0,6.0,5.211333333333332,5.3196666666666665,8.057,3.3824628430340886,3.4409890817599904,4.482098367277315,3.0326843954858735,3.1152759181779666,5.928002258476566
