step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-1.8574273304946345,"(1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0)",6.0,10.0,9.0,12.0,7.855666666666667,13.935666666666666,14.738,16.197333333333333,0.0,2.0247425434239292,1.8574273304946345,3.5757293253622304,3.0,5.0,1.0,3.0,0.22107644783913644,0.03953528400575852,0.07299416013442654,0.019967879518351717,4.0,3.0,6.0,6.079999999999999,6.8823333333333325,8.341666666666665,2.0247425434239292,1.8574273304946345,3.5757293253622304,6.724541772350269,8.332440216200757,7.903011110684204
0,1,0.2857142857142857,1.6582280766035322,-3.5001417622037194,"(1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",5.0,10.0,9.0,12.0,7.195666666666667,13.022,13.991,16.423,0.0,3.5001417622037194,4.218854660116505,5.655119696288448,1.0,5.0,2.0,3.0,0.14853545798787848,0.06568186422396785,0.03787713850549045,0.01924636473395795,5.0,4.0,7.0,5.826333333333333,6.795333333333333,9.22733333333333,3.5001417622037194,4.218854660116505,5.655119696288448,3.8573561748056084,4.272389274698361,5.923544948573843
0,2,0.5714285714285714,1.6582280766035322,-2.883022971117511,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1)",6.0,10.0,9.0,12.0,8.950666666666667,12.999333333333333,12.508666666666667,18.249,0.0,2.883022971117511,3.8676327411136713,4.543277770925782,2.0,2.0,1.0,2.0,0.17263639895222302,0.04907961167277419,0.02594170606789479,0.036647825298805045,4.0,3.0,6.0,4.048666666666666,3.558,9.298333333333332,2.883022971117511,3.8676327411136713,4.543277770925782,1.9329031032755084,-0.5134417047504028,7.884966639393999
0,3,0.8571428571428571,1.6582280766035322,-2.8359385061201734,"(0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0)",6.0,9.0,10.0,11.0,7.757666666666666,12.750333333333334,13.052,16.39,0.0,3.4959224929865824,2.8359385061201734,5.001676497946421,6.0,6.0,12.0,5.0,0.12874985985728166,0.1173600534531428,0.12978748175837326,0.028309101819066713,3.0,4.0,5.0,4.9926666666666675,5.294333333333333,8.632333333333335,3.4959224929865824,2.8359385061201734,5.001676497946421,2.4819432122890706,4.0765793258617515,6.02045710095111
0,4,1.1428571428571428,1.6582280766035322,-2.0654336179481394,"(1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1)",9.0,12.0,13.0,15.0,12.712333333333333,16.467,16.840333333333334,19.631333333333334,0.0,2.2423665537217365,2.0654336179481394,3.629391428396762,15.0,5.0,8.0,8.0,0.0776782399016578,0.02469088229618582,0.04155509060709304,0.030532484095189667,3.0,4.0,6.0,3.7546666666666653,4.128,6.9190000000000005,2.2423665537217365,2.0654336179481394,3.629391428396762,2.5077385075359735,3.420205484576963,5.454921294468131
0,5,1.4285714285714284,1.6582280766035322,-2.365996669210734,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0)",7.0,10.0,8.0,12.0,9.048666666666668,12.752666666666666,11.612666666666666,16.792666666666666,0.0,2.365996669210734,2.5347398007615496,3.7071623251894668,10.0,15.0,1.0,5.0,0.167996862013443,0.008947452275004375,0.13761219185688628,0.02173743897306586,3.0,1.0,5.0,3.703999999999999,2.5639999999999983,7.743999999999998,2.365996669210734,2.5347398007615496,3.7071623251894668,2.2187146897038024,0.048520083904208915,6.6939975730617425
0,6,1.7142857142857142,1.6582280766035322,-2.2744901165168274,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0)",5.0,9.0,10.0,12.0,8.289666666666667,11.845,13.467333333333332,16.019666666666666,0.0,2.8265510927309574,2.2744901165168274,4.149734186456746,1.0,3.0,14.0,1.0,0.3497732815430113,0.00767620851055646,0.058106175421876224,0.020186805234150087,4.0,5.0,7.0,3.5553333333333335,5.177666666666665,7.729999999999999,2.8265510927309574,2.2744901165168274,4.149734186456746,1.2084871730968907,4.814128866795444,5.936897293721209
0,7,2.0,1.6582280766035322,-2.0326836134352195,"(1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0)",7.0,10.0,9.0,12.0,8.583,13.278,11.991333333333333,17.841,0.0,2.2928319615197053,2.0326836134352195,3.498981002550098,10.0,8.0,3.0,6.0,0.23616516962889092,0.025918661773854816,0.013730037346375843,0.06778692983005158,3.0,2.0,5.0,4.695,3.408333333333333,9.258000000000001,2.2928319615197053,2.0326836134352195,3.498981002550098,3.9833424861276594,2.281140989106837,9.549766995264555
1,0,0.0,1.6582280766035322,-3.302720497305866,"(1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0)",6.0,11.0,10.0,13.0,9.436666666666667,16.596666666666668,15.123,17.593333333333334,0.0,3.302720497305866,3.624269346115697,4.743038979887288,1.0,2.0,4.0,5.0,0.10323251464456878,0.01608698772606402,0.039829238429519756,0.02531436827095759,5.0,4.0,7.0,7.16,5.686333333333332,8.156666666666666,3.302720497305866,3.624269346115697,4.743038979887288,6.396249170674723,3.4193723993573095,5.660573273288733
1,1,0.2857142857142857,1.6582280766035322,-3.5001417622037194,"(1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",5.0,10.0,9.0,12.0,7.195666666666667,13.022,13.991,16.423,0.0,3.5001417622037194,4.218854660116505,5.655119696288448,1.0,5.0,2.0,3.0,0.14853545798787848,0.06568186422396785,0.03787713850549045,0.01924636473395795,5.0,4.0,7.0,5.826333333333333,6.795333333333333,9.22733333333333,3.5001417622037194,4.218854660116505,5.655119696288448,3.8573561748056084,4.272389274698361,5.923544948573843
