step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-6.5307193950043345,"(0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1)",7.0,10.0,10.0,11.0,7.015333333333333,10.953666666666667,10.542333333333334,11.380666666666666,0.0,6.5307193950043345,6.971725151977045,11.023513333375742,8.0,15.0,15.0,2.0,0.10266849945029446,0.028808129405989206,0.09754719414657384,0.12136706008281689,3.0,3.0,4.0,3.9383333333333335,3.527,4.365333333333333,6.5307193950043345,6.971725151977045,11.023513333375742,-4.29876735285851,-5.7121399631907055,-11.040781015150431
0,1,0.2857142857142857,1.6582280766035322,-7.66713994541355,"(1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0)",6.0,9.0,10.0,12.0,6.028666666666667,9.429666666666666,10.143,13.511333333333333,0.0,7.66713994541355,8.139403301630237,13.01137872685165,5.0,2.0,10.0,4.0,0.4357285657734008,0.014533365202696295,0.08617932965487189,0.06073587604191595,3.0,4.0,6.0,3.400999999999999,4.114333333333334,7.482666666666666,7.66713994541355,8.139403301630237,13.01137872685165,-7.07423303620461,-6.6744840317236145,-9.167865565655298
0,2,0.5714285714285714,1.6582280766035322,-6.200252964093657,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1)",6.0,9.0,10.0,13.0,6.016333333333334,9.245,10.395333333333333,13.634,0.0,6.200252964093657,7.5783418319114295,11.815308027575727,2.0,2.0,6.0,47.0,0.16465976845928568,0.15128650599245544,0.06265656137269704,6.85209009785033e-05,3.0,4.0,7.0,3.2286666666666655,4.379,7.617666666666667,6.200252964093657,7.5783418319114295,11.815308027575727,-4.927567830443772,-5.305238452327711,-6.960646760171664
0,3,0.8571428571428571,1.6582280766035322,-7.309598334963217,"(1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1)",7.0,11.0,10.0,12.0,7.034,11.909333333333333,10.914,13.891,0.0,8.28830297053103,7.309598334963217,10.138848654507758,8.0,19.0,7.0,1.0,0.11743381342553182,0.009867884029015193,0.13058925359364137,0.07013125057472812,4.0,3.0,5.0,4.875333333333333,3.88,6.857,8.28830297053103,7.309598334963217,10.138848654507758,-5.659482076996592,-5.687056250508733,-5.442053582068289
0,4,1.1428571428571428,1.6582280766035322,-6.910914243456711,"(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1)",5.0,7.0,8.0,11.0,5.058,9.984,8.330333333333334,12.342666666666666,0.0,6.910914243456711,7.50912923446964,12.74030449821799,4.0,1.0,2.0,9.0,0.25009626788456363,0.06201079490162972,0.08030833259336863,0.08176767676245132,2.0,3.0,6.0,4.926,3.272333333333334,7.284666666666666,6.910914243456711,7.50912923446964,12.74030449821799,-3.2914405281501766,-7.025573918102985,-9.046691828058815
0,5,1.4285714285714284,1.6582280766035322,-6.955677189146804,"(0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1)",6.0,11.0,9.0,12.0,6.213333333333333,11.887666666666666,9.498,12.710333333333333,0.0,8.068145556227302,6.955677189146804,11.905239263596858,1.0,9.0,1.0,1.0,0.19828745899922323,0.0662401981065281,0.002823604545205416,0.005315945876510135,5.0,3.0,6.0,5.674333333333333,3.2846666666666664,6.497,8.068145556227302,6.955677189146804,11.905239263596858,-3.9694866381194918,-6.087372717883566,-8.968094191885921
0,6,1.7142857142857142,1.6582280766035322,-8.897360930689302,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",5.0,9.0,9.0,12.0,5.0,9.081333333333333,9.602333333333334,12.341,0.0,8.897360930689302,9.080097664731014,13.616807009997803,1.0,2.0,3.0,30.0,0.1885194387383711,0.0009648289397682264,0.02490186103566119,0.03674546433024365,4.0,4.0,7.0,4.081333333333333,4.602333333333334,7.340999999999999,8.897360930689302,9.080097664731014,13.616807009997803,-7.986072179633119,-7.425154534737476,-10.406719387323623
0,7,2.0,1.6582280766035322,-4.414092591380163,"(0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1)",8.0,12.0,11.0,13.0,8.106666666666667,12.502333333333333,11.433,13.963333333333333,0.0,7.321233568634052,4.414092591380163,9.562549911240607,6.0,27.0,6.0,4.0,0.15564111142280673,0.09612925369987257,0.002263402583643746,0.05988146119526202,4.0,3.0,5.0,4.395666666666665,3.3263333333333325,5.856666666666666,7.321233568634052,4.414092591380163,9.562549911240607,-4.851257176824334,-1.8037529422786807,-6.1451996447671045
1,0,0.0,1.6582280766035322,-6.5307193950043345,"(0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1)",7.0,10.0,10.0,11.0,7.015333333333333,10.953666666666667,10.542333333333334,11.380666666666666,0.0,6.5307193950043345,6.971725151977045,11.023513333375742,8.0,15.0,15.0,2.0,0.10266849945029446,0.028808129405989206,0.09754719414657384,0.12136706008281689,3.0,3.0,4.0,3.9383333333333335,3.527,4.365333333333333,6.5307193950043345,6.971725151977045,11.023513333375742,-4.29876735285851,-5.7121399631907055,-11.040781015150431
1,1,0.2857142857142857,1.6582280766035322,-7.66713994541355,"(1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0)",6.0,9.0,10.0,12.0,6.028666666666667,9.429666666666666,10.143,13.511333333333333,0.0,7.66713994541355,8.139403301630237,13.01137872685165,5.0,2.0,10.0,4.0,0.4357285657734008,0.014533365202696295,0.08617932965487189,0.06073587604191595,3.0,4.0,6.0,3.400999999999999,4.114333333333334,7.482666666666666,7.66713994541355,8.139403301630237,13.01137872685165,-7.07423303620461,-6.6744840317236145,-9.167865565655298
