step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-4.444333333333333,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",5.0,9.0,9.0,10.0,5.038,9.503666666666666,9.482333333333333,10.293333333333333,0.0,8.086680861172445,8.184009636890869,12.376415559185547,4.0,10.0,11.0,4.0,0.2869366182688033,0.022143453961060027,0.11763265433137789,0.023298358414773655,4.0,4.0,5.0,4.465666666666666,4.444333333333333,5.255333333333333,8.086680861172445,8.184009636890869,12.376415559185547,-6.004467403109407,-6.20123624396802,-11.808378482710518
0,1,0.2857142857142857,1.6582280766035322,-3.267999999999999,"(1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0)",7.0,10.0,10.0,12.0,7.077333333333334,10.943666666666667,10.345333333333333,13.080333333333334,0.0,6.639932138605085,7.067690495721372,10.080672486153583,12.0,7.0,12.0,25.0,0.27267507224628795,0.09148228056045822,0.06226998703528745,0.00030899341400961546,3.0,3.0,5.0,3.8663333333333334,3.267999999999999,6.003,6.639932138605085,7.067690495721372,10.080672486153583,-4.599259412135631,-6.300753462408775,-6.761711003733599
0,2,0.5714285714285714,1.6582280766035322,-3.384333333333333,"(1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1)",7.0,11.0,10.0,13.0,7.278,11.250333333333334,10.662333333333333,13.673333333333334,0.0,6.413611643283312,7.469165937823494,10.901532233585144,5.0,26.0,9.0,28.0,0.3546681772062045,0.0021227446900559375,0.030851217480512498,0.023160085778041344,4.0,3.0,6.0,3.972333333333334,3.384333333333333,6.395333333333334,6.413611643283312,7.469165937823494,10.901532233585144,-4.048196236362274,-6.7735841129911165,-7.47230553515751
0,3,0.8571428571428571,1.6582280766035322,-3.8546666666666667,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)",5.0,10.0,9.0,12.0,5.183333333333334,10.189,9.038,13.003,0.0,7.931139067587036,8.40117302827851,13.948922456606882,2.0,19.0,6.0,27.0,0.2633290630970113,0.08240551387093732,0.061659401716557635,0.0020749346465112535,5.0,4.0,7.0,5.0056666666666665,3.8546666666666667,7.8196666666666665,7.931139067587036,8.40117302827851,13.948922456606882,-4.8511004725349025,-7.53914449928133,-10.163704039563626
0,4,1.1428571428571428,1.6582280766035322,-3.237,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1)",6.0,9.0,9.0,12.0,6.0,9.237,9.399333333333333,13.123333333333333,0.0,7.795882930805408,7.022798576736433,12.57666502419183,5.0,8.0,2.0,13.0,0.2675094012158595,0.00047506498615391664,0.09920983666580019,0.018448333916155208,3.0,3.0,6.0,3.237,3.399333333333333,7.123333333333333,7.795882930805408,7.022798576736433,12.57666502419183,-7.559667673810125,-6.008531801208072,-9.042867720813373
0,5,1.4285714285714284,1.6582280766035322,-3.3979999999999997,"(1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",4.0,9.0,7.0,11.0,4.247333333333334,9.618666666666666,7.645333333333333,12.192,0.0,9.843306349365989,7.885095601326676,14.65660813781025,1.0,19.0,1.0,12.0,0.23951850510677675,0.14776509434508592,0.002299991801851117,0.023699631425441847,5.0,3.0,7.0,5.371333333333332,3.3979999999999997,7.9446666666666665,9.843306349365989,7.885095601326676,14.65660813781025,-7.415551212998729,-7.440627908524105,-11.129929795969908
0,6,1.7142857142857142,1.6582280766035322,-3.6159999999999997,"(0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1)",7.0,10.0,11.0,12.0,7.327333333333334,10.943333333333333,11.587666666666667,13.681666666666667,0.0,6.157240370262202,6.644685725758014,10.46924138639281,5.0,8.0,29.0,7.0,0.31871437788035545,0.08148536823529987,0.05233225122397332,0.008403508636839715,3.0,4.0,5.0,3.6159999999999997,4.2603333333333335,6.354333333333333,6.157240370262202,6.644685725758014,10.46924138639281,-4.21395613136714,-3.953800081635408,-6.8234560662252015
0,7,2.0,1.6582280766035322,-2.963333333333333,"(1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",8.0,11.0,10.0,12.0,8.209333333333333,13.205666666666668,11.172666666666666,14.304666666666666,0.0,6.481322623077956,5.4509918200585545,9.47587064472526,10.0,4.0,1.0,2.0,0.13739950524504924,0.0018314749701897413,0.09102394259647215,0.07695567402484756,3.0,2.0,4.0,4.996333333333334,2.963333333333333,6.095333333333333,6.481322623077956,5.4509918200585545,9.47587064472526,-2.4624509337100697,-4.125105147688818,-5.605701883755913
1,0,0.0,1.6582280766035322,-4.444333333333333,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",5.0,9.0,9.0,10.0,5.038,9.503666666666666,9.482333333333333,10.293333333333333,0.0,8.086680861172445,8.184009636890869,12.376415559185547,4.0,10.0,11.0,4.0,0.2869366182688033,0.022143453961060027,0.11763265433137789,0.023298358414773655,4.0,4.0,5.0,4.465666666666666,4.444333333333333,5.255333333333333,8.086680861172445,8.184009636890869,12.376415559185547,-6.004467403109407,-6.20123624396802,-11.808378482710518
1,1,0.2857142857142857,1.6582280766035322,-4.262,"(1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0)",6.0,9.0,11.0,11.0,6.278666666666667,10.540666666666667,11.309333333333333,11.909333333333333,0.0,8.962787240689515,9.336607123425173,12.964386385636345,3.0,1.0,32.0,4.0,0.2849531674404672,0.04420830221636642,0.016411794132985144,0.04730368115138973,3.0,5.0,5.0,4.262,5.030666666666666,5.630666666666666,8.962787240689515,9.336607123425173,12.964386385636345,-7.794977384651001,-7.140231361579994,-12.16097994393649
1,2,0.5714285714285714,1.6582280766035322,-3.384333333333333,"(1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1)",7.0,11.0,10.0,13.0,7.278,11.250333333333334,10.662333333333333,13.673333333333334,0.0,6.413611643283312,7.469165937823494,10.901532233585144,5.0,26.0,9.0,28.0,0.3546681772062045,0.0021227446900559375,0.030851217480512498,0.023160085778041344,4.0,3.0,6.0,3.972333333333334,3.384333333333333,6.395333333333334,6.413611643283312,7.469165937823494,10.901532233585144,-4.048196236362274,-6.7735841129911165,-7.47230553515751
1,3,0.8571428571428571,1.6582280766035322,-2.2700000000000005,"(0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)",6.0,8.0,9.0,12.0,6.088,8.358,9.772,12.846,0.0,5.297099042171543,7.19349473246636,12.002604888828095,4.0,2.0,5.0,2.0,0.15883402622702308,0.010032947402048404,0.11887289169798167,8.413757738232612e-05,2.0,3.0,6.0,2.2700000000000005,3.684,6.758,5.297099042171543,7.19349473246636,12.002604888828095,-5.019620622388511,-5.819542700067919,-8.696751077346894
1,4,1.1428571428571428,1.6582280766035322,-3.237,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1)",6.0,9.0,9.0,12.0,6.0,9.237,9.399333333333333,13.123333333333333,0.0,7.795882930805408,7.022798576736433,12.57666502419183,5.0,8.0,2.0,13.0,0.2675094012158595,0.00047506498615391664,0.09920983666580019,0.018448333916155208,3.0,3.0,6.0,3.237,3.399333333333333,7.123333333333333,7.795882930805408,7.022798576736433,12.57666502419183,-7.559667673810125,-6.008531801208072,-9.042867720813373
1,5,1.4285714285714284,1.6582280766035322,-3.3979999999999997,"(1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",4.0,9.0,7.0,11.0,4.247333333333334,9.618666666666666,7.645333333333333,12.192,0.0,9.843306349365989,7.885095601326676,14.65660813781025,1.0,19.0,1.0,12.0,0.23951850510677675,0.14776509434508592,0.002299991801851117,0.023699631425441847,5.0,3.0,7.0,5.371333333333332,3.3979999999999997,7.9446666666666665,9.843306349365989,7.885095601326676,14.65660813781025,-7.415551212998729,-7.440627908524105,-11.129929795969908
1,6,1.7142857142857142,1.6582280766035322,-4.652,"(0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1)",6.0,11.0,10.0,12.0,6.248,11.343666666666667,10.9,12.891,0.0,9.336017531220158,8.017449838974247,12.743160335461027,1.0,22.0,1.0,9.0,0.30513504782451534,0.038595800464697745,0.001162844554985337,0.011535788089508545,5.0,4.0,6.0,5.095666666666667,4.652,6.643,9.336017531220158,8.017449838974247,12.743160335461027,-7.031468858252659,-5.580683413387933,-10.115457140044697
1,7,2.0,1.6582280766035322,-2.963333333333333,"(1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",8.0,11.0,10.0,12.0,8.209333333333333,13.205666666666668,11.172666666666666,14.304666666666666,0.0,6.481322623077956,5.4509918200585545,9.47587064472526,10.0,4.0,1.0,2.0,0.13739950524504924,0.0018314749701897413,0.09102394259647215,0.07695567402484756,3.0,2.0,4.0,4.996333333333334,2.963333333333333,6.095333333333333,6.481322623077956,5.4509918200585545,9.47587064472526,-2.4624509337100697,-4.125105147688818,-5.605701883755913
2,0,0.0,1.6582280766035322,-4.444333333333333,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0)",5.0,9.0,9.0,10.0,5.038,9.503666666666666,9.482333333333333,10.293333333333333,0.0,8.086680861172445,8.184009636890869,12.376415559185547,4.0,10.0,11.0,4.0,0.2869366182688033,0.022143453961060027,0.11763265433137789,0.023298358414773655,4.0,4.0,5.0,4.465666666666666,4.444333333333333,5.255333333333333,8.086680861172445,8.184009636890869,12.376415559185547,-6.004467403109407,-6.20123624396802,-11.808378482710518
2,1,0.2857142857142857,1.6582280766035322,-4.262,"(1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0)",6.0,9.0,11.0,11.0,6.278666666666667,10.540666666666667,11.309333333333333,11.909333333333333,0.0,8.962787240689515,9.336607123425173,12.964386385636345,3.0,1.0,32.0,4.0,0.2849531674404672,0.04420830221636642,0.016411794132985144,0.04730368115138973,3.0,5.0,5.0,4.262,5.030666666666666,5.630666666666666,8.962787240689515,9.336607123425173,12.964386385636345,-7.794977384651001,-7.140231361579994,-12.16097994393649
2,2,0.5714285714285714,1.6582280766035322,-3.384333333333333,"(1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1)",7.0,11.0,10.0,13.0,7.278,11.250333333333334,10.662333333333333,13.673333333333334,0.0,6.413611643283312,7.469165937823494,10.901532233585144,5.0,26.0,9.0,28.0,0.3546681772062045,0.0021227446900559375,0.030851217480512498,0.023160085778041344,4.0,3.0,6.0,3.972333333333334,3.384333333333333,6.395333333333334,6.413611643283312,7.469165937823494,10.901532233585144,-4.048196236362274,-6.7735841129911165,-7.47230553515751
