step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,4.0,1.6582280766035322,-4.441333333333334,"(1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0)",5.0,9.0,9.0,12.0,5.037333333333334,9.478666666666667,9.600666666666667,14.094333333333333,0.0,8.189242267710375,8.86303560950361,13.993685402296972,1.0,5.0,2.0,1.0,0.31991823241354556,0.06970019062434941,0.005008549545473285,0.006709655957800347,4.0,4.0,7.0,4.441333333333334,4.5633333333333335,9.056999999999999,8.189242267710375,8.86303560950361,13.993685402296972,-6.214887823537235,-7.1298870353816675,-8.186150339447645
0,1,4.260869565217392,1.6582280766035322,-3.0439999999999996,"(0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",5.0,9.0,9.0,11.0,6.156,9.2,10.456333333333333,12.293333333333333,0.0,8.533370655496626,8.71560070873715,14.004648132358964,1.0,1.0,5.0,1.0,0.17796318047009346,0.029611275127983613,0.0034906663073978493,0.03054883217500944,4.0,4.0,6.0,3.0439999999999996,4.300333333333334,6.137333333333333,8.533370655496626,8.71560070873715,14.004648132358964,-9.102628543828041,-7.321520327606195,-13.045802287222777
0,2,4.521739130434782,1.6582280766035322,-3.1356666666666664,"(1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1)",6.0,9.0,11.0,12.0,6.082,9.217666666666666,11.589333333333334,12.580333333333334,0.0,6.768002620388098,7.7412535280595245,12.032195047617265,2.0,4.0,36.0,15.0,0.0646085574148957,0.11624413366691713,0.06345923343298401,0.008918473570598362,3.0,5.0,6.0,3.1356666666666664,5.507333333333334,6.498333333333334,6.768002620388098,7.7412535280595245,12.032195047617265,-6.023241462117347,-3.7043491877865984,-9.176404866666967
0,3,4.782608695652174,1.6582280766035322,-1.655666666666665,"(1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0)",8.0,11.0,12.0,14.0,9.367,11.022666666666666,12.206666666666667,16.143,0.0,5.766294676446514,6.105660264701631,10.482138715877502,1.0,10.0,28.0,10.0,0.10178354743481118,0.042770436460034644,0.001262655898739524,0.0008431961298842181,3.0,4.0,6.0,1.655666666666665,2.839666666666666,6.776,5.766294676446514,6.105660264701631,10.482138715877502,-6.816358778289845,-5.415762282268969,-6.145623274455436
0,4,5.043478260869565,1.6582280766035322,-3.0876666666666663,"(0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0)",6.0,9.0,10.0,13.0,6.248,9.335666666666667,11.427666666666667,14.519,0.0,7.371459454598733,8.387529496159344,13.201955194744412,1.0,1.0,6.0,24.0,0.07711893651004309,0.12510179606968308,0.0903226356845898,0.0004618237506717286,3.0,4.0,7.0,3.0876666666666663,5.179666666666667,8.271,7.371459454598733,8.387529496159344,13.201955194744412,-7.103505475300674,-5.319368209757606,-8.17664834839922
0,5,5.304347826086957,1.6582280766035322,-3.1966666666666663,"(0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",7.0,11.0,10.0,12.0,7.756666666666667,11.545333333333334,10.953333333333333,13.619666666666667,0.0,6.740715556149766,6.6304065395428164,11.14706053746091,4.0,31.0,8.0,2.0,0.2196596653955117,0.016593888456862497,0.07217217565790884,0.032521372823258024,4.0,3.0,5.0,3.788666666666667,3.1966666666666663,5.863,6.740715556149766,6.6304065395428164,11.14706053746091,-4.895170352047153,-5.693923864956275,-8.762177541690429
0,6,5.565217391304348,1.6582280766035322,-2.815666666666665,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0)",8.0,12.0,11.0,14.0,8.243333333333334,12.909333333333333,11.059,16.013666666666666,0.0,7.515798996288866,6.220990027429405,10.76139353635574,4.0,26.0,12.0,9.0,0.3203375280292954,0.009960772685834392,0.0374372300289601,0.013480364840454551,4.0,3.0,6.0,4.665999999999999,2.815666666666665,7.7703333333333315,7.515798996288866,6.220990027429405,10.76139353635574,-4.725616708322765,-5.646802806730674,-4.959860007463219
0,7,5.826086956521739,1.6582280766035322,-4.647333333333333,"(0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0)",5.0,9.0,9.0,12.0,5.096666666666667,10.0,9.744,13.328666666666667,0.0,9.123635364120059,8.542002653873165,13.159246609393666,2.0,5.0,4.0,36.0,0.2458751454548223,0.0563582411365581,0.005028417662600071,0.007697226823940506,4.0,4.0,7.0,4.903333333333333,4.647333333333333,8.232,9.123635364120059,8.542002653873165,13.159246609393666,-6.998223319197453,-6.458250016405552,-8.170498668046134
0,8,6.086956521739131,1.6582280766035322,-3.8273333333333346,"(1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0)",5.0,9.0,9.0,12.0,5.576,9.403333333333334,10.806666666666667,12.970333333333333,0.0,8.72145056889628,9.31052688073148,13.611141397402742,1.0,2.0,4.0,24.0,0.21444397013674996,0.03774560121603551,0.0005796106483900814,0.059670542783925966,4.0,4.0,7.0,3.8273333333333346,5.230666666666667,7.394333333333333,8.72145056889628,9.31052688073148,13.611141397402742,-8.11556261019974,-6.76533875557997,-10.308885678695145
0,9,6.3478260869565215,1.6582280766035322,-2.905333333333335,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",7.0,11.0,11.0,14.0,8.604,12.34,11.509333333333334,15.338666666666667,0.0,7.940452781950624,7.727425748376291,11.736708016744716,1.0,10.0,4.0,38.0,0.15022793712644264,0.031371714848465966,0.0006631348524388359,0.0009836907405704472,4.0,4.0,7.0,3.7360000000000007,2.905333333333335,6.7346666666666675,7.940452781950624,7.727425748376291,11.736708016744716,-6.971941649784352,-7.996129030601162,-8.294525407031259
0,10,6.608695652173913,1.6582280766035322,-4.347666666666667,"(1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1)",7.0,11.0,10.0,12.0,7.306666666666667,11.654333333333334,11.670666666666667,12.882333333333333,0.0,7.40415418484243,6.667283689490842,11.709209067807711,8.0,26.0,4.0,6.0,0.2344250687742166,0.000798872014597798,0.07100259675912776,0.005597673765668717,4.0,3.0,5.0,4.347666666666667,4.364000000000001,5.575666666666667,7.40415418484243,6.667283689490842,11.709209067807711,-5.0683534184273,-3.8193696822966845,-10.170812218610324
0,11,6.869565217391305,1.6582280766035322,-1.9783333333333335,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1)",7.0,9.0,10.0,11.0,7.246,9.224333333333334,10.664333333333333,12.250333333333334,0.0,6.099303723741317,5.818943417878674,10.726828693336762,14.0,4.0,4.0,4.0,0.2507524805825352,0.09003105910000483,0.004761873435440977,0.06450751412116808,2.0,3.0,4.0,1.9783333333333335,3.418333333333333,5.004333333333333,6.099303723741317,5.818943417878674,10.726828693336762,-6.833508804226337,-3.9807590431706634,-9.489202474191123
0,12,7.130434782608695,1.6582280766035322,-3.3970000000000002,"(1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0)",6.0,9.0,9.0,11.0,6.09,9.487,9.540666666666667,12.652333333333333,0.0,7.6450670872383135,8.75928580617745,12.473919370089835,5.0,8.0,1.0,2.0,0.2547931290920903,0.176962946209998,0.032159427351230487,0.006737770608495789,3.0,3.0,5.0,3.3970000000000002,3.4506666666666668,6.562333333333333,7.6450670872383135,8.75928580617745,12.473919370089835,-7.044264115353958,-8.802901305131664,-9.802757943407032
0,13,7.391304347826087,1.6582280766035322,-2.246666666666668,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0)",7.0,11.0,9.0,12.0,7.334,11.971,9.580666666666668,13.21,0.0,8.359791025389049,5.457293086749648,11.393675901964667,2.0,6.0,1.0,2.0,0.23460868190451178,0.02029102131040675,0.04798819765550984,0.012492288689613544,4.0,2.0,5.0,4.6370000000000005,2.246666666666668,5.876000000000001,8.359791025389049,5.457293086749648,11.393675901964667,-6.173236601627773,-5.323950873266685,-9.149565098236527
0,14,7.6521739130434785,1.6582280766035322,-1.000333333333332,"(1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",8.0,9.0,11.0,13.0,10.221333333333334,11.221666666666666,11.369666666666667,13.9,0.0,5.036692747497367,6.292782090768135,9.772536860007834,5.0,1.0,12.0,9.0,0.2717652871932134,0.032067261296484496,0.06119578478859802,0.001367108399898716,1.0,3.0,5.0,1.000333333333332,1.1483333333333334,3.6786666666666665,5.036692747497367,6.292782090768135,9.772536860007834,-6.693204507829788,-8.530669368226542,-10.10502664977572
0,15,7.913043478260869,1.6582280766035322,-2.602666666666667,"(0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",6.0,8.0,8.0,12.0,6.006666666666667,8.609333333333334,9.073,13.322333333333333,0.0,4.941188022663206,5.876161498899702,12.358138200830092,16.0,3.0,3.0,11.0,0.2992091889960035,0.019033275000918528,0.0671838539610197,0.00011040400733861265,2.0,2.0,6.0,2.602666666666667,3.0663333333333336,7.315666666666666,4.941188022663206,5.876161498899702,12.358138200830092,-3.877801770250425,-4.6593359545735495,-8.36156787342388
0,16,8.173913043478262,1.6582280766035322,-3.4173333333333336,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0)",5.0,9.0,8.0,12.0,5.0,11.467666666666666,8.417333333333334,12.934666666666667,0.0,7.932714384259809,7.724744946319114,13.241614482909846,3.0,2.0,1.0,17.0,0.17470676840958665,0.00668459350751274,0.12239387191740896,0.002159278211523456,4.0,3.0,7.0,6.467666666666666,3.4173333333333336,7.934666666666667,7.932714384259809,7.724744946319114,13.241614482909846,-2.4293832588768716,-7.142670874141129,-8.800129869964243
0,17,8.434782608695652,1.6582280766035322,-3.176,"(0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0)",5.0,8.0,9.0,11.0,5.023333333333333,8.199333333333334,9.443333333333333,12.657666666666668,0.0,8.204801974495837,7.557429733389817,12.842294737307311,3.0,4.0,16.0,8.0,0.13250855842628118,0.061511159086805066,0.12214461296894463,0.015716547691075403,3.0,4.0,6.0,3.176,4.42,7.634333333333334,8.204801974495837,7.557429733389817,12.842294737307311,-8.338900625788277,-5.20257407227773,-8.6359878219372
0,18,8.695652173913043,1.6582280766035322,-3.7283333333333326,"(1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1)",6.0,10.0,9.0,11.0,6.038666666666667,11.144,9.767,12.082666666666666,0.0,8.54920673362819,7.254093756288015,11.346932294960855,2.0,6.0,1.0,2.0,0.23499253396749645,0.019340638101273035,0.0032486876031022696,0.05338001414334485,4.0,3.0,5.0,5.105333333333333,3.7283333333333326,6.044,8.54920673362819,7.254093756288015,11.346932294960855,-5.710727564637005,-5.846514924720998,-8.793471219831694
0,19,8.956521739130434,1.6582280766035322,-3.501666666666667,"(1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",4.0,7.0,8.0,10.0,4.007333333333333,7.509,8.040666666666667,10.414666666666667,0.0,8.091637120645851,9.05239604347353,14.041967476460746,2.0,2.0,5.0,6.0,0.2744056027099174,0.20230774493603246,0.00013819329282476058,0.05720077999190118,3.0,4.0,6.0,3.501666666666667,4.033333333333333,6.407333333333334,8.091637120645851,9.05239604347353,14.041967476460746,-7.6112178775689445,-8.32275070418829,-12.659964690729826
0,20,9.217391304347826,1.6582280766035322,-2.247,"(0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",6.0,9.0,8.0,11.0,6.193333333333333,9.210666666666667,8.440333333333333,12.365666666666666,0.0,7.553864543025121,6.591272356934974,11.189676999029619,5.0,4.0,1.0,8.0,0.44156830683574594,0.11463081719852293,0.0016159224317993898,0.005761062822672324,3.0,2.0,5.0,3.017333333333333,2.247,6.172333333333333,7.553864543025121,6.591272356934974,11.189676999029619,-7.522603422299108,-7.203794394682176,-8.319900136426469
0,21,9.478260869565217,1.6582280766035322,-2.414666666666667,"(1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1)",7.0,9.0,10.0,13.0,7.211,9.625666666666667,11.125,14.617333333333333,0.0,6.269953817580227,6.755768582134045,11.290313018523047,5.0,2.0,3.0,6.0,0.2595176366345473,0.005853854550708165,0.10207864626673072,0.005310800223950987,2.0,3.0,6.0,2.414666666666667,3.9139999999999997,7.4063333333333325,6.269953817580227,6.755768582134045,11.290313018523047,-6.392945397013704,-4.712300450104484,-6.440524162939333
0,22,9.73913043478261,1.6582280766035322,-4.108,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1)",5.0,9.0,9.0,12.0,5.016666666666667,9.974,9.124666666666666,12.499,0.0,8.86413188250981,8.736448320611338,13.303650637731225,3.0,6.0,8.0,67.0,0.19856446709411457,0.13460074152367454,0.01213036313716529,0.006914302945222923,4.0,4.0,7.0,4.957333333333334,4.108,7.482333333333334,8.86413188250981,8.736448320611338,13.303650637731225,-6.478363043878378,-7.675022956346188,-9.653071796970574
0,23,10.0,1.6582280766035322,-1.5536666666666665,"(1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",6.0,10.0,8.0,11.0,6.534666666666666,11.099,8.088333333333333,12.679666666666666,0.0,9.038328741957008,7.282283633590276,12.006271415353032,3.0,16.0,1.0,4.0,0.3107275852742874,0.00240589212362175,0.0015557309984547646,0.018496432193993745,4.0,2.0,5.0,4.564333333333334,1.5536666666666665,6.145,9.038328741957008,7.282283633590276,12.006271415353032,-7.418904801175069,-9.499353494660097,-9.719324825532121
10,0,4.0,1.6582280766035322,-3.0439999999999996,"(0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",5.0,9.0,9.0,11.0,6.156,9.2,10.456333333333333,12.293333333333333,0.0,8.533370655496626,8.71560070873715,14.004648132358964,1.0,1.0,5.0,1.0,0.17796318047009346,0.029611275127983613,0.0034906663073978493,0.03054883217500944,4.0,4.0,6.0,3.0439999999999996,4.300333333333334,6.137333333333333,8.533370655496626,8.71560070873715,14.004648132358964,-9.102628543828041,-7.321520327606195,-13.045802287222777
10,1,4.260869565217392,1.6582280766035322,-2.7283333333333335,"(1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",8.0,10.0,11.0,13.0,8.113333333333333,10.841666666666667,11.787666666666667,14.333333333333334,0.0,7.050306738051645,7.749848676923252,10.955489132722183,24.0,4.0,27.0,2.0,0.2135508889866557,0.06780419288634933,0.07889553650571476,0.031098109236340897,2.0,3.0,5.0,2.7283333333333335,3.6743333333333332,6.220000000000001,7.050306738051645,7.749848676923252,10.955489132722183,-7.166817646037664,-6.758133969369294,-7.852521036330834
10,2,4.521739130434782,1.6582280766035322,-1.655666666666665,"(1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0)",8.0,11.0,12.0,14.0,9.367,11.022666666666666,12.206666666666667,16.143,0.0,5.766294676446514,6.105660264701631,10.482138715877502,1.0,10.0,28.0,10.0,0.10178354743481118,0.042770436460034644,0.001262655898739524,0.0008431961298842181,3.0,4.0,6.0,1.655666666666665,2.839666666666666,6.776,5.766294676446514,6.105660264701631,10.482138715877502,-6.816358778289845,-5.415762282268969,-6.145623274455436
