step,replica,lambda,beta,phi,syndrome,E0_II,E0_IX,E0_XI,E0_XX,U_II,U_IX,U_XI,U_XX,F_II,F_IX,F_XI,F_XX,g_II,g_IX,g_XI,g_XX,Z_II,Z_IX,Z_XI,Z_XX,delta_E0_IX,delta_E0_XI,delta_E0_XX,delta_U_IX,delta_U_XI,delta_U_XX,delta_F_IX,delta_F_XI,delta_F_XX,delta_S_IX,delta_S_XI,delta_S_XX
0,0,0.0,1.6582280766035322,-2.860333333333333,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",6.0,10.0,9.0,15.0,10.785,15.288,13.645333333333333,18.747,0.0,3.9575639771348023,3.4230433690198576,5.406698705656834,1.0,3.0,1.0,10.0,0.14424285222788583,0.07290116090524783,0.00806740916317304,0.03698882677574104,4.0,3.0,9.0,4.503,2.860333333333333,7.962,3.9575639771348023,3.4230433690198576,5.406698705656834,0.9044573271060371,-0.9331015801619704,4.2372723504611844
0,1,0.2857142857142857,1.6582280766035322,-2.1113296861572453,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0)",7.0,10.0,12.0,12.0,10.478333333333333,14.928333333333333,17.148666666666667,16.596666666666668,0.0,2.8550173413793187,2.1113296861572453,3.3335635395306915,2.0,2.0,6.0,2.0,0.12914797988542434,0.07891605809552671,0.047218179925899044,0.03689526158769724,3.0,5.0,5.0,4.449999999999999,6.670333333333334,6.118333333333334,2.8550173413793187,2.1113296861572453,3.3335635395306915,2.644845026220559,7.559867849085293,4.617783458960971
0,2,0.5714285714285714,1.6582280766035322,-2.0087130053500974,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1)",6.0,9.0,9.0,12.0,9.951,13.477666666666666,11.995666666666667,17.407333333333334,0.0,2.8890018045714885,2.0087130053500974,3.960023682115101,2.0,1.0,7.0,5.0,0.15974343510308017,0.0413181615255502,0.11522298182244377,0.020462885350431954,3.0,3.0,6.0,3.5266666666666655,2.044666666666666,7.456333333333333,2.8890018045714885,2.0087130053500974,3.960023682115101,1.057393777789742,0.0596193706518286,5.797678828149976
0,3,0.8571428571428571,1.6582280766035322,-4.638340301606179,"(0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",3.0,7.0,7.0,10.0,4.102333333333333,11.582333333333333,9.165,14.622,0.0,5.2579372224290895,4.638340301606179,6.510590348630007,2.0,2.0,2.0,12.0,0.37529065380286386,0.04558390371051909,0.061171178827881395,0.02956695287513942,4.0,4.0,7.0,7.4799999999999995,5.062666666666666,10.519666666666666,5.2579372224290895,4.638340301606179,6.510590348630007,3.6846868857437127,0.7036298921864202,6.647962911814699
0,4,1.1428571428571428,1.6582280766035322,-3.2813333333333325,"(1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",6.0,9.0,10.0,13.0,9.371333333333334,12.652666666666667,14.938666666666666,16.320666666666668,0.0,3.401550890671436,3.2951018605316933,4.852141174949597,2.0,1.0,7.0,3.0,0.2110103314287377,0.008799451775362682,0.0582113600730361,0.01083279592581736,3.0,4.0,7.0,3.2813333333333325,5.567333333333332,6.949333333333334,3.401550890671436,3.2951018605316933,4.852141174949597,-0.19934812887873815,3.7678780247418726,3.4776229190646744
0,5,1.4285714285714284,1.6582280766035322,-4.4218678385837915,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",2.0,6.0,6.0,10.0,3.1586666666666665,8.359666666666667,9.017333333333333,12.815666666666667,0.0,4.69202082939712,4.4218678385837915,6.949569382397981,1.0,1.0,1.0,31.0,0.21625867098891743,0.07249611729358604,0.03001973567537334,0.012377310637970283,4.0,4.0,8.0,5.2010000000000005,5.858666666666666,9.657,4.69202082939712,4.4218678385837915,6.949569382397981,0.8440035511000753,2.3825401571580747,4.489537465563709
0,6,1.7142857142857142,1.6582280766035322,-2.8893887244560283,"(0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",4.0,7.0,8.0,11.0,5.810333333333333,10.874666666666666,10.443,14.294666666666666,0.0,3.702961480728737,2.8893887244560283,5.262377588723106,1.0,1.0,3.0,2.0,0.3362781950532981,0.13819549987122803,0.018847372979060317,0.043877648197926625,3.0,4.0,7.0,5.064333333333333,4.632666666666666,8.484333333333332,3.702961480728737,2.8893887244560283,5.262377588723106,2.2574650286867066,2.8907524290973097,5.342737477286717
0,7,2.0,1.6582280766035322,-2.1074973368246486,"(1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1)",6.0,10.0,10.0,11.0,8.194,12.430666666666667,13.288333333333334,15.382,0.0,2.1074973368246486,2.624781585321122,3.4417905586636817,3.0,11.0,6.0,1.0,0.1706918675943809,0.10722247153245418,0.05430129564295848,0.04052603573298538,4.0,4.0,5.0,4.236666666666666,5.094333333333333,7.187999999999999,2.1074973368246486,2.624781585321122,3.4417905586636817,3.530648362587161,4.09508004517918,6.212069676461114
1,0,0.0,1.6582280766035322,-2.488585785962751,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",5.0,9.0,9.0,12.0,7.903333333333333,12.121,14.846,16.891333333333332,0.0,2.488585785962751,3.4610444291086893,5.0761309385859175,1.0,4.0,2.0,13.0,0.09810073454101317,0.10252227325889669,0.05777687812268735,0.016021913640535883,4.0,4.0,7.0,4.217666666666667,6.942666666666667,8.988,2.488585785962751,3.4610444291086893,5.0761309385859175,2.8672104631015967,5.773323746445851,6.486771109633538
1,1,0.2857142857142857,1.6582280766035322,-0.8596070101548645,"(1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0)",8.0,11.0,13.0,15.0,10.204,16.086,16.964333333333332,19.563,0.0,1.4262880305777161,0.8596070101548645,2.912594705150275,4.0,3.0,12.0,10.0,0.11705135905096765,0.04278558788987407,0.04105621996928199,0.019434451948657335,3.0,5.0,7.0,5.881999999999998,6.760333333333332,9.358999999999998,1.4262880305777161,0.8596070101548645,2.912594705150275,7.388586688954447,9.784750061448063,10.689610253085483
1,2,0.5714285714285714,1.6582280766035322,-2.0087130053500974,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1)",6.0,9.0,9.0,12.0,9.951,13.477666666666666,11.995666666666667,17.407333333333334,0.0,2.8890018045714885,2.0087130053500974,3.960023682115101,2.0,1.0,7.0,5.0,0.15974343510308017,0.0413181615255502,0.11522298182244377,0.020462885350431954,3.0,3.0,6.0,3.5266666666666655,2.044666666666666,7.456333333333333,2.8890018045714885,2.0087130053500974,3.960023682115101,1.057393777789742,0.0596193706518286,5.797678828149976
1,3,0.8571428571428571,1.6582280766035322,-3.4355906281328243,"(0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",4.0,8.0,8.0,12.0,4.909666666666666,11.730333333333334,9.725666666666667,15.732333333333333,0.0,4.359472401012483,3.4355906281328243,5.4716367596122675,4.0,3.0,18.0,55.0,0.33380283560694707,0.08024483583141964,0.012170232225393195,0.007700385229078269,4.0,4.0,8.0,6.820666666666668,4.816000000000001,10.822666666666667,4.359472401012483,3.4355906281328243,5.4716367596122675,4.081221433283382,2.289033577636798,8.873228030622794
1,4,1.1428571428571428,1.6582280766035322,-2.2654343487429323,"(1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",5.0,9.0,9.0,12.0,7.721333333333333,16.005,14.366333333333333,17.836,0.0,3.08293157813027,2.2654343487429323,4.849782806129537,1.0,2.0,5.0,5.0,0.21961371360122978,0.029966016406555017,0.053892954957997535,0.018104623831151734,4.0,4.0,7.0,8.283666666666665,6.6450000000000005,10.114666666666665,3.08293157813027,2.2654343487429323,4.849782806129537,8.624004942788208,7.2623187262429045,8.730378237599462
1,5,1.4285714285714284,1.6582280766035322,-4.4218678385837915,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",2.0,6.0,6.0,10.0,3.1586666666666665,8.359666666666667,9.017333333333333,12.815666666666667,0.0,4.69202082939712,4.4218678385837915,6.949569382397981,1.0,1.0,1.0,31.0,0.21625867098891743,0.07249611729358604,0.03001973567537334,0.012377310637970283,4.0,4.0,8.0,5.2010000000000005,5.858666666666666,9.657,4.69202082939712,4.4218678385837915,6.949569382397981,0.8440035511000753,2.3825401571580747,4.489537465563709
1,6,1.7142857142857142,1.6582280766035322,-2.8893887244560283,"(0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1)",4.0,7.0,8.0,11.0,5.810333333333333,10.874666666666666,10.443,14.294666666666666,0.0,3.702961480728737,2.8893887244560283,5.262377588723106,1.0,1.0,3.0,2.0,0.3362781950532981,0.13819549987122803,0.018847372979060317,0.043877648197926625,3.0,4.0,7.0,5.064333333333333,4.632666666666666,8.484333333333332,3.702961480728737,2.8893887244560283,5.262377588723106,2.2574650286867066,2.8907524290973097,5.342737477286717
1,7,2.0,1.6582280766035322,-2.1074973368246486,"(1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1)",6.0,10.0,10.0,11.0,8.194,12.430666666666667,13.288333333333334,15.382,0.0,2.1074973368246486,2.624781585321122,3.4417905586636817,3.0,11.0,6.0,1.0,0.1706918675943809,0.10722247153245418,0.05430129564295848,0.04052603573298538,4.0,4.0,5.0,4.236666666666666,5.094333333333333,7.187999999999999,2.1074973368246486,2.624781585321122,3.4417905586636817,3.530648362587161,4.09508004517918,6.212069676461114
2,0,0.0,1.6582280766035322,-2.488585785962751,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",5.0,9.0,9.0,12.0,7.903333333333333,12.121,14.846,16.891333333333332,0.0,2.488585785962751,3.4610444291086893,5.0761309385859175,1.0,4.0,2.0,13.0,0.09810073454101317,0.10252227325889669,0.05777687812268735,0.016021913640535883,4.0,4.0,7.0,4.217666666666667,6.942666666666667,8.988,2.488585785962751,3.4610444291086893,5.0761309385859175,2.8672104631015967,5.773323746445851,6.486771109633538
2,1,0.2857142857142857,1.6582280766035322,-0.8596070101548645,"(1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0)",8.0,11.0,13.0,15.0,10.204,16.086,16.964333333333332,19.563,0.0,1.4262880305777161,0.8596070101548645,2.912594705150275,4.0,3.0,12.0,10.0,0.11705135905096765,0.04278558788987407,0.04105621996928199,0.019434451948657335,3.0,5.0,7.0,5.881999999999998,6.760333333333332,9.358999999999998,1.4262880305777161,0.8596070101548645,2.912594705150275,7.388586688954447,9.784750061448063,10.689610253085483
2,2,0.5714285714285714,1.6582280766035322,-2.0087130053500974,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1)",6.0,9.0,9.0,12.0,9.951,13.477666666666666,11.995666666666667,17.407333333333334,0.0,2.8890018045714885,2.0087130053500974,3.960023682115101,2.0,1.0,7.0,5.0,0.15974343510308017,0.0413181615255502,0.11522298182244377,0.020462885350431954,3.0,3.0,6.0,3.5266666666666655,2.044666666666666,7.456333333333333,2.8890018045714885,2.0087130053500974,3.960023682115101,1.057393777789742,0.0596193706518286,5.797678828149976
2,3,0.8571428571428571,1.6582280766035322,-3.4355906281328243,"(0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",4.0,8.0,8.0,12.0,4.909666666666666,11.730333333333334,9.725666666666667,15.732333333333333,0.0,4.359472401012483,3.4355906281328243,5.4716367596122675,4.0,3.0,18.0,55.0,0.33380283560694707,0.08024483583141964,0.012170232225393195,0.007700385229078269,4.0,4.0,8.0,6.820666666666668,4.816000000000001,10.822666666666667,4.359472401012483,3.4355906281328243,5.4716367596122675,4.081221433283382,2.289033577636798,8.873228030622794
